,Apartment 1,Apartment 2,Apartment 3,Apartment 4,Apartment 5,Apartment 6,Apartment 7,Apartment 8
4/5,00000000,00000111,01110100,11111100,11110100,11111111,11111111,11111100
5/5,00000000,01110111,00000100,00110100,11110100,11111111,11111000,11111100
6/5,00000000,11000000,01000000,11110100,01110100,11111111,01111111,01111100
7/5,00000000,11001100,01110000,11110100,11110100,11111111,11111111,01111100
9/5,00000000,11100000,00000000,11010111,11110100,11111111,11111110,11111100
10/5,00000000,11111100,11111100,11111100,01000111,11111111,00011111,01111100
11/5,00000000,11111000,11111100,11111100,11111010,11111011,11100000,11111000
12/5,00000000,11111000,11111100,11111100,11111010,11111011,11100000,11111000
13/5,00000000,11000000,11111110,11110000,11110000,11111111,11111110,11110000
14/5,00000000,11110000,11110001,11101001,11111100,11111111,11110000,11111000
15/5,00000000,11110111,11111111,01110000,11111011,11111110,00111100,11100000