OFF,ON
I,Titan!
had,to
a,whose
dream,immortal
which,eyes
was,the
not,suffering
all,of
a,mortality
dream,seen
the,in
bright,their
sun,sad
was,reality
extinguish'd,were
and,not
the,as
stars,things
did,that
wander,gods
darkling,despise
in,what
the,was
eternal,thy
space,pit's
rayless,recompense
and,a 
pathless,silent
and,suffering
the,and 
icy,intense
earth,the
swung,rock
blind,vulture
and,chain
blackening,proud
in,pain
moonless,agony
air,do
Morn,not
came,show
and,suffocating
went,sense
brought,woe
day,speaks
men,loneliness
forgot,jealous
passion,lest
in,sky
dread,should
desolation,listener
and,nor
all,sigh
hearts,voice
chill'd,echoless
selfish,Titan!
prayer,strife
light,was
watchfires,given
thrones,between
palaces,suffering
of ,will
crowned,torture
kinds,where 
huts,they
habitations,cannot 
of,kill
all,inexorable
things,Heaven
dwell,deaf
burnt,tyranny
for ,Fate
beacons,ruling
cities ,principle
were,of 
consum'd,Hate
gather'd,its 
round,pleasure
their,doth
blazing,create
homes,things
look,may
once,annihilate
more,Refu'sd
into,thee
face,the 
happy,boon
dwelt,to
within ,die
eye,Eternity
volcanos,thine
mountain,hast
forests,borne
set,well
fire,Thunderer
hour,Wrung
fell,Menance
faded,which 
crackling,flung
trunks,back
extinguish'd,torments
within ,of 
a,rack
crash,fate
and,though
all,so
was,well
blackening,foresee
the,appease
brows,silence
of ,was
men,his
by,sentence
despairing ,soul
light,dread
wore,dissembled
unearthly ,lightnings
aspect,tremebled
fits,Godlike
the,crime
flashed,to
fell,be
upon,kind
hid,render
eyes,thy
wept,precepts
rest,less
chins,sum
upon,of 
their,humans
clenched,wretchedness
hands,strengthen 
hurried,Man
fed,his
funerals,own
piles,mind
within ,baffled
fuel,high
mad,patient
dull,energy
sky,endurance
past,repulse
world,inpenetrable
dust,spirit
curses,earth
cast,heaven
upon ,convulse
the ,lesson
dust,we
gnash'd ,inherit
their,symbol
teeth,and 
howl'd,sign
wild,Mortals
bird,fate
terrified,and 
flutter,force
ground,man
useless,is
wings,part
wildest,divine
brutes,troubled
tame,scream
tremulous,pure 
vipers,source
multitude,man
hissing,in
stingless,portions
slain,cannot 
for,foresee
food,funereal 
war,destiny
moment,resistnace
no,sad
more,unallied
glut,existence
meal,Spirit
blood,may
sate,oppose
sullenly,equal
gorging,to
himself,all
in,woes
glood,form
no,will
love,deep
death,sense
immediate,torture
inglorius,descry
pan,concenter'd
famine,recompense
fed,triumphant
upon,where 
all,its 
entrails,dares
men,defy
died,Death
bones,a
tombless,Victory